ROI,Condition,HbO_uM
Left,Peripheral Left,-0.21438451152172344
Left,Peripheral Left,-0.09933061460240498
Left,Peripheral Left,0.27425428346330416
Left,Peripheral Left,0.08095386895380756
Left,Peripheral Right,-0.030870018050015564
Left,Peripheral Right,0.1109853421940122
Left,Peripheral Right,0.3776953024280114
Left,Peripheral Right,0.7908608119142441
Left,Central Left,0.0238710749761446
Left,Central Left,0.06928857771228789
Left,Central Left,0.15894280892600846
Left,Central Left,0.3034926525808745
Left,Central Right,-0.037065618185636105
Left,Central Right,0.07664803485366174
Left,Central Right,0.2932859409842915
Left,Central Right,-0.18841708352280948
Central,Peripheral Left,-0.18311656907989543
Central,Peripheral Left,-0.11636603354800483
Central,Peripheral Left,0.34890696440701174
Central,Peripheral Left,0.1196999989810622
Central,Peripheral Right,-0.07840415638357837
Central,Peripheral Right,0.03079574076274156
Central,Peripheral Right,0.4124046989358821
Central,Peripheral Right,0.7980011967416706
Central,Central Left,-0.021238908601820407
Central,Central Left,0.07947303702369941
Central,Central Left,0.14955959651752532
Central,Central Left,0.35375741003093186
Central,Central Right,-0.015519871161002511
Central,Central Right,-0.015594390406876487
Central,Central Right,0.20677569835260007
Central,Central Right,-0.13039855614865675
Right,Peripheral Left,-0.14644188767392513
Right,Peripheral Left,0.007080359784234922
Right,Peripheral Left,0.33902380223309353
Right,Peripheral Left,0.1303354612930159
Right,Peripheral Right,-0.040491661482939804
Right,Peripheral Right,-0.04174924546231205
Right,Peripheral Right,0.2601779205651377
Right,Peripheral Right,0.6294906508915453
Right,Central Left,0.059884536715085646
Right,Central Left,0.12073496988493931
Right,Central Left,0.30677030728465915
Right,Central Left,0.26519376166790015
Right,Central Right,-0.0120761361567881
Right,Central Right,0.0484839050914601
Right,Central Right,0.2591282335655412
Right,Central Right,-0.13125210269310364
